date, pm25, pm10, o3, no2, so2, co
2020/3/1, 133, 52, , 6, 6, 8
2020/3/2, 121, 53, , 10, 5, 10
2020/3/3, 125, 54, , 9, 7, 9
2020/3/4, 135, 53, , 11, 7, 9
2020/3/5, 148, 51, , 9, 6, 12
2020/3/6, 154, 51, , 9, 7, 14
2020/3/7, 150, 45, , 9, 7, 17
2020/3/8, 141, 32, , 6, 5, 10
2020/3/9, 116, 85, , 6, 5, 3
2020/3/10, 80, 84, , 6, 7, 5
2020/3/11, 116, 59, , 8, 7, 10
2020/3/12, 152, 67, , 7, 6, 8
2020/3/13, 134, 72, , 9, 6, 5
2020/3/14, 117, 83, , 8, 7, 6
2020/3/15, 124, 83, , 15, 7, 6
2020/3/16, 163, 58, , 5, 7, 11
2020/3/17, 115, 60, , 10, 6, 14
2020/3/18, 130, 105, , 8, 8, 7
2020/3/19, 109, 99, , 11, 10, 7
2020/3/20, 136, 62, , 15, 12, 5
2020/3/21, 145, 73, , 6, 5, 3
2020/3/22, 134, 69, , 7, 5, 6
2020/3/23, 162, 73, , 11, 8, 8
2020/3/24, 173, 55, , 8, 6, 7
2020/3/25, 128, 44, , 8, 5, 7
2020/3/26, 100, 21, , 4, 3, 3
2020/3/27, 52, 26, , 5, 3, 3
2020/3/28, 74, 11, , 3, 3, 3
2020/3/29, 66, , , , , 
2020/2/1, 179, 58, , 9, 8, 8
2020/2/2, 153, 70, , 11, 8, 9
2020/2/3, 168, 85, , 15, 9, 9
2020/2/4, 186, 100, , 13, 6, 10
2020/2/5, 202, 26, , 6, 4, 6
2020/2/6, 101, 33, , 6, 5, 6
2020/2/7, 121, 43, , 8, 5, 7
2020/2/8, 118, 54, , 7, 6, 7
2020/2/9, 147, 44, , 9, 7, 8
2020/2/10, 136, 48, , 8, 6, 8
2020/2/11, 148, 47, , 7, 7, 8
2020/2/12, 151, 44, , 6, 5, 9
2020/2/13, 132, 75, , 6, 7, 8
2020/2/14, 138, 35, , 5, 5, 6
