date, pm25, pm10, o3, no2, so2, co
2020/3/1, 64, 25, , 21, , 9
2020/3/2, 82, 25, , 31, , 6
2020/3/3, 75, 31, , 23, , 3
2020/3/4, 79, 46, , 30, , 3
2020/3/5, 102, 30, , 14, , 1
2020/3/6, 89, 30, , 15, , 3
2020/3/7, 88, 29, , 20, , 2
2020/3/8, 77, 39, , 20, , 2
2020/3/9, 97, 42, , 24, , 2
2020/3/10, 103, 19, , 12, , 
2020/3/11, 51, 19, , 10, , 1
2020/3/12, 54, 26, , 16, , 3
2020/3/13, 54, 25, , 11, , 2
2020/3/14, 44, 30, , 12, , 3
2020/3/15, 67, 42, , 18, , 3
2020/3/16, 76, 74, , 27, , 6
2020/3/17, 119, 62, , 25, , 5
2020/3/18, 107, 49, , 15, , 3
2020/3/19, 103, 39, , 15, , 2
2020/3/20, 64, 27, , 6, , 2
2020/3/21, 53, 22, , 3, , 1
2020/3/22, 49, 26, , 7, , 2
2020/3/23, 64, 33, , 12, , 2
2020/3/24, 73, 37, , 11, , 2
2020/3/25, 83, 43, , 10, , 2
2020/3/26, 96, 58, , 12, , 2
2020/3/27, 133, 63, , 11, , 3
2020/3/28, 153, , , , , 
2020/2/1, 63, 12, , 8, , 5
2020/2/2, 48, 24, , 20, , 7
2020/2/3, 65, 19, , 22, , 7
2020/2/4, 65, 25, , 19, , 6
2020/2/5, 59, 20, , 15, , 6
2020/2/6, 71, 35, , 22, , 7
2020/2/7, 57, 56, , 29, , 10
2020/2/8, 109, 46, , 16, , 8
2020/2/9, 106, 14, , 12, , 6
2020/2/10, 53, 11, , 12, , 6
2020/2/11, 45, 17, , 11, , 5
2020/2/12, 51, 25, , 18, , 7
2020/2/13, 65, 33, , 19, , 8
2020/2/14, 101, 35, , 17, , 8
2020/2/15, 107, 34, , 12, , 7
2020/2/16, 80, 32, , 20, , 7
2020/2/17, 63, 17, , 15, , 6
2020/2/18, 58, 25, , 20, , 7
2020/2/19, 62, 30, , 22, , 8
2020/2/20, 77, 22, , 20, , 8
2020/2/21, 71, 24, , 13, , 7
2020/2/22, 66, 12, , 9, , 6
2020/2/23, 42, 13, , 15, , 7
2020/2/24, 50, 19, , 20, , 8
2020/2/25, 65, 18, , 23, , 8
2020/2/26, 64, 21, , 20, , 8
2020/2/27, 68, 33, , 26, , 9
2020/2/28, 88, 31, , 15, , 7
2020/2/29, 68, 26, , 15, , 8
2020/1/1, 71, 37, , 16, , 5
2020/1/2, 95, 44, , 23, , 7
2020/1/3, 114, 13, , 9, , 4
2020/1/4, 49, 15, , 12, , 4
2020/1/5, 43, 31, , 15, , 6
2020/1/6, 95, 48, , 24, , 7
2020/1/7, 112, 39, , 19, , 7
2020/1/8, 108, 27, , 17, , 7
2020/1/9, 87, 29, , 18, , 7
2020/1/10, 92, 15, , 15, , 5
2020/1/11, 54, 25, , 14, , 5
2020/1/12, 76, 25, , 19, , 6
2020/1/13, 81, 44, , 21, , 8
2020/1/14, 119, 44, , 24, , 8
2020/1/15, 103, 50, , 23, , 9
2020/1/16, 112, 45, , 17, , 8
2020/1/17, 131, 46, , 19, , 8
2020/1/18, 129, 42, , 21, , 8
2020/1/19, 106, 36, , 19, , 6
2020/1/20, 92, 33, , 13, , 5
2020/1/21, 80, 18, , 15, , 5
2020/1/22, 62, 22, , 15, , 5
2020/1/23, 73, 45, , 17, , 6
2020/1/24, 114, 33, , 13, , 6
2020/1/25, 101, 38, , 17, , 8
2020/1/26, 112, 56, , 23, , 11
2020/1/27, 150, 42, , 24, , 9
2020/1/28, 119, 15, , 18, , 6
2020/1/29, 57, 15, , 16, , 6
2020/1/30, 58, 13, , 15, , 6
2020/1/31, 53, 17, , 15, , 6
2019/10/1, 44, 17, , 25, , 7
2019/10/2, 57, 23, , 22, , 7
2019/10/3, 66, 28, , 22, , 7
2019/10/4, 72, 20, , 11, , 5
2019/10/5, 64, 17, , 18, , 5
2019/10/6, 45, 34, , 26, , 7
