date, pm25, pm10, o3, no2, so2, co
2019/10/1, 30, 15, 19, 7, 1, 3
2019/10/2, 44, 19, 15, 7, 1, 3
2019/10/3, 54, 20, 14, 9, 1, 3
2019/10/4, 57, 20, 16, 7, 1, 3
2019/10/5, 55, 24, 24, 9, 1, 5
2019/10/6, 61, 34, 22, 12, 2, 4
2019/10/7, 80, 33, 15, 12, 2, 5
2019/10/8, 85, 21, 18, 9, 1, 4
2019/10/9, 54, 16, 20, 7, 1, 3
2019/10/10, 41, 18, 20, 7, 1, 3
2019/10/11, 46, 19, 25, 6, 1, 3
2019/10/12, 49, 23, 27, 7, 1, 3
2019/10/13, 56, 35, 26, 17, 1, 6
2019/10/14, 59, 44, 22, 14, 2, 4
2019/10/16, 67, 23, 21, 15, 1, 4
2019/10/17, 53, 33, 24, 15, 2, 5
2019/10/18, 75, 36, 15, 14, 1, 5
2019/10/19, 82, 37, 24, 13, 2, 5
2019/10/20, 80, 38, 18, 20, 2, 6
2019/10/21, 81, 55, 17, 19, 2, 8
2019/10/22, 135, 41, 12, 11, 1, 5
2019/10/23, 106, 51, 11, 13, 1, 6
2019/10/24, 113, 47, 14, 15, 2, 6
2019/10/25, 127, 39, 22, 13, 2, 5
2019/10/26, 100, 22, 26, 5, 1, 3
2019/10/27, 59, 18, 20, 5, , 3
2019/10/28, 48, 37, 10, 11, 1, 4
2019/10/29, 86, 51, 17, 17, 3, 6
2019/10/30, 98, 65, 15, 20, 4, 12
2019/10/31, 141, 78, 10, 16, 3, 12
2019/11/1, 148, 35, 16, 7, 4, 4
2019/11/2, 82, , , , , 
2019/11/4, 69, 26, 16, 12, 2, 5
2019/11/5, 67, 30, 15, 11, 2, 5
2019/11/6, 77, 39, 9, 16, 3, 6
2019/11/7, 98, 36, 8, 14, 2, 5
2019/11/8, 94, 36, 11, 10, 2, 5
2019/11/9, 93, 28, 13, 8, 2, 4
2019/11/10, 77, 43, 10, 10, 2, 5
2019/11/11, 108, 33, 8, 14, 2, 6
2019/11/12, 83, 40, 6, 13, 1, 6
2019/11/13, 91, 23, 17, 10, 1, 3
2019/11/14, 71, 34, 8, 9, 1, 4
2019/11/15, 88, 32, 13, 11, 2, 5
2019/11/16, 78, 34, 14, 11, 2, 5
2019/11/17, 83, 33, 13, 11, 2, 4
2019/11/18, 77, 31, 14, 16, 2, 5
2019/11/19, 76, 33, 13, 10, 2, 4
2019/11/20, 93, 26, 14, 8, 2, 4
2019/11/21, 67, 26, 7, 8, 3, 4
2019/11/22, 67, 33, 5, 7, 3, 4
2019/11/23, 84, 32, 7, 7, 2, 4
2019/11/24, 87, 34, 2, 8, 2, 5
2019/11/25, 91, 36, 2, 9, 1, 6
2019/11/26, 95, 40, 4, 13, 2, 7
2019/11/27, 102, 33, 9, 13, 3, 6
2019/11/28, 93, 18, 21, 6, 2, 3
2019/11/29, 47, 25, 22, 7, 2, 3
2019/11/30, 70, 43, 15, 9, 3, 5
2019/12/1, 106, 45, 16, 11, 4, 5
2019/12/2, 98, 34, 20, 10, 2, 4
2019/12/3, 89, 39, 14, 12, 3, 5
2019/12/4, 99, 42, 17, 12, 5, 5
2019/12/5, 100, 50, 11, 11, 4, 5
2019/12/6, 113, 29, 17, 7, 3, 5
2019/12/7, 77, 19, 19, 5, 2, 4
2019/12/8, 66, 33, 15, 12, 3, 6
2019/12/9, 77, 33, 19, 10, 2, 4
2019/12/10, 80, 51, 10, 16, 3, 6
2019/12/11, 117, 52, 11, 16, 4, 6
2019/12/12, 125, 37, 6, 14, 3, 6
2019/12/13, 101, 28, 20, 9, 3, 4
2019/12/14, 84, 21, 25, 7, 2, 4
2019/12/15, 68, 38, 15, 16, 3, 6
2019/12/16, 102, 55, 5, 18, 4, 8
2019/12/17, 131, 37, 12, 13, 3, 5
2019/12/18, 98, 51, 7, 16, 2, 9
2019/12/19, 128, 39, 12, 14, 3, 5
2019/12/20, 91, 41, 14, 12, 3, 6
2019/12/21, 98, 27, 13, 7, 1, 5
2019/12/22, 80, 27, 8, 8, 1, 5
2019/12/23, 80, 22, 17, 7, 1, 4
2019/12/25, 97, 22, 16, 4, 1, 4
2019/12/26, 68, 16, 14, 5, 4, 3
2019/12/27, 58, 16, 17, 5, 3, 3
2019/7/1, 55, 19, 35, 3, 1, 1
2019/7/2, 34, 15, 33, 3, 1, 1
2019/7/3, 24, 18, 36, 5, 1, 1
2019/7/4, 29, 17, 30, 5, 1, 2
2019/7/5, 36, 14, 28, 4, , 2
2019/7/6, 28, 13, 31, 2, , 2
